Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
A,101,2 bhk,985
A,102,2 bhk,985
A,103,2 bhk,1030
A,104,2 bhk,1030
A,201,2 bhk,965
A,202,2 bhk,970
A,203,2 bhk,970
A,204,2 bhk,965
A,301,2 bhk,985
A,302,2 bhk,985
A,303,2 bhk,985
A,304,2 bhk,985
A,401,2 bhk,965
A,402,2 bhk,970
A,403,2 bhk,970
A,404,2 bhk,965
A,501,2 bhk,985
A,502,2 bhk,985
A,503,2 bhk,985
A,504,2 bhk,985
A,601,2 bhk,965
A,602,2 bhk,970
A,603,2 bhk,970
A,604,2 bhk,965
B,101,2 bhk,1030
B,102,2 bhk,1030
B,103,2 bhk,985
B,104,2 bhk,985
B,201,2 bhk,965
B,202,2 bhk,965
B,203,2 bhk,965
B,204,2 bhk,965
B,301,2 bhk,985
B,302,2 bhk,985
B,303,2 bhk,985
B,304,2 bhk,985
B,401,2 bhk,965
B,402,2 bhk,965
B,403,2 bhk,965
B,404,2 bhk,965
B,501,2 bhk,985
B,502,2 bhk,985
B,503,2 bhk,985
B,504,2 bhk,985
B,601,2 bhk,1135
B,602,2 bhk,965
B,603,2 bhk,965
