Wing,Flat Number,Flat Type,Flat Area Sq Ft
B,10399,Studio,356
B,10499,Studio,356
B,20399,Studio,307
B,20499,Studio,307
B,30399,Studio,324
B,30499,Studio,324
B,40399,Studio,307
B,40499,Studio,307
B,50399,Studio,324
B,50499,Studio,324
B,60399,Studio,307
B,60499,Studio,307
B,70399,Studio,324
B,70499,Studio,324
B,80399,Studio,307
B,80499,Studio,307
B,90399,Studio,324
B,90499,Studio,324
B,100399,Studio,307
B,100499,Studio,307
B,110399,Studio,324
B,110499,Studio,324
B,120399,Studio,307
B,120499,Studio,307
B,130399,Studio,324
B,130499,Studio,324
B,140399,Studio,307
B,140499,Studio,307
B,150399,Studio,324
B,150499,Studio,324
B,160399,Studio,355
B,160499,Studio,355
B,170399,Studio,324
B,170499,Studio,324
B,180399,Studio,307
B,180499,Studio,307
B,190399,Studio,324
B,190499,Studio,324
